epoch	lr	loss	acc	val_loss	val_acc	time
182	7.8e-02	1.8357	0.7717	1.2285	0.7993	63
183	7.8e-02	1.8329	0.7724	1.2260	0.7952	63
184	7.8e-02	1.8262	0.7751	1.2544	0.7944	63
185	7.8e-02	1.8292	0.7724	1.2445	0.7950	64
186	7.8e-02	1.8224	0.7756	1.2277	0.7971	63
187	7.8e-02	1.8216	0.7726	1.2211	0.8041	64
188	7.8e-02	1.8164	0.7763	1.2229	0.7965	63
189	7.8e-02	1.8091	0.7777	1.2458	0.7892	63
190	7.8e-02	1.8084	0.7787	1.2505	0.7897	64
191	7.8e-02	1.8096	0.7770	1.2196	0.8001	63
192	7.8e-02	1.8019	0.7793	1.2164	0.7997	63
193	7.8e-02	1.7923	0.7808	1.2165	0.7944	63
194	7.8e-02	1.7808	0.7842	1.2187	0.8004	62
195	7.8e-02	1.7861	0.7811	1.2457	0.7907	63
196	7.8e-02	1.7875	0.7836	1.2070	0.8001	64
197	7.8e-02	1.7905	0.7793	1.2099	0.7973	63
198	7.8e-02	1.7787	0.7833	1.2451	0.7880	63
199	7.8e-02	1.7902	0.7816	1.2040	0.8016	63
200	7.8e-02	1.7646	0.7854	1.2245	0.7950	63
201	7.8e-02	1.7763	0.7824	1.2458	0.7862	63
202	7.8e-02	1.7651	0.7853	1.2056	0.7979	63
203	7.8e-02	1.7687	0.7830	1.1979	0.7995	63
204	7.8e-02	1.7706	0.7834	1.2315	0.7952	63
205	7.8e-02	1.7445	0.7889	1.1996	0.7997	64
206	7.8e-02	1.7559	0.7885	1.2246	0.7929	63
207	7.8e-02	1.7610	0.7867	1.2236	0.7947	64
208	7.8e-02	1.7500	0.7877	1.2483	0.7820	63
209	7.8e-02	1.7541	0.7857	1.1908	0.8026	63
210	7.8e-02	1.7515	0.7889	1.2028	0.7981	63
211	7.8e-02	1.7471	0.7883	1.2262	0.7899	63
212	7.8e-02	1.7361	0.7904	1.2425	0.7851	63
213	7.8e-02	1.7453	0.7896	1.2458	0.7841	64
214	7.8e-02	1.7427	0.7856	1.2662	0.7816	64
215	7.8e-02	1.7435	0.7899	1.2181	0.7944	64
216	7.8e-02	1.7344	0.7911	1.1952	0.8031	64
217	7.8e-02	1.7338	0.7901	1.1880	0.7966	63
218	7.8e-02	1.7308	0.7933	1.2094	0.7948	63
219	7.8e-02	1.7377	0.7898	1.2236	0.7859	64
220	7.8e-02	1.7288	0.7923	1.2354	0.7880	64
221	7.8e-02	1.7270	0.7912	1.2220	0.7961	63
222	7.8e-02	1.7215	0.7939	1.2335	0.7866	63
223	7.8e-02	1.7297	0.7893	1.2306	0.7876	63
224	7.8e-02	1.7179	0.7912	1.2103	0.7950	64
225	7.8e-02	1.7141	0.7946	1.2095	0.7939	66
226	7.8e-03	1.7134	0.7948	1.1377	0.8100	63
227	7.8e-03	1.6869	0.8011	1.1503	0.8079	64
228	7.8e-03	1.6868	0.8038	1.1474	0.8033	62
229	7.8e-03	1.6866	0.8034	1.1588	0.8050	63
230	7.8e-03	1.6749	0.8062	1.1318	0.8143	63
231	7.8e-03	1.6798	0.8085	1.1166	0.8112	63
232	7.8e-03	1.6773	0.8061	1.1707	0.8037	64
233	7.8e-03	1.6686	0.8097	1.1536	0.8054	64
234	7.8e-03	1.6716	0.8063	1.1365	0.8078	64
235	7.8e-03	1.6715	0.8068	1.1244	0.8112	63
236	7.8e-03	1.6576	0.8104	1.1344	0.8110	64
237	7.8e-03	1.6691	0.8071	1.1363	0.8086	64
238	7.8e-03	1.6637	0.8081	1.1200	0.8084	63
239	7.8e-03	1.6717	0.8088	1.1450	0.8086	63
240	7.8e-03	1.6596	0.8098	1.1430	0.8119	63
241	7.8e-03	1.6658	0.8089	1.1541	0.8046	65
242	7.8e-03	1.6572	0.8100	1.1262	0.8107	63
243	7.8e-03	1.6619	0.8102	1.1402	0.8099	63
244	7.8e-03	1.6578	0.8111	1.1323	0.8115	63
245	7.8e-03	1.6583	0.8082	1.1392	0.8103	63
246	7.8e-03	1.6556	0.8121	1.1377	0.8140	65
247	7.8e-03	1.6543	0.8129	1.1363	0.8067	64
248	7.8e-03	1.6478	0.8131	1.1384	0.8079	63
249	7.8e-03	1.6525	0.8120	1.1261	0.8127	63
250	7.8e-03	1.6590	0.8091	1.1367	0.8095	63
251	7.8e-03	1.6533	0.8115	1.1342	0.8107	63
252	7.8e-03	1.6547	0.8121	1.1397	0.8151	63
253	7.8e-03	1.6522	0.8118	1.1024	0.8172	64
254	7.8e-03	1.6447	0.8144	1.1358	0.8085	63
255	7.8e-03	1.6636	0.8100	1.1583	0.8078	64
256	7.8e-03	1.6476	0.8141	1.1378	0.8110	64
257	7.8e-03	1.6535	0.8126	1.1443	0.8122	63
258	7.8e-03	1.6462	0.8108	1.1229	0.8109	63
