epoch	lr	loss	acc	val_loss	val_acc	time	delta_ema
103	1.0e-02	0.2835	0.9388	0.9834	0.7941	1075	-0.00229
104	1.0e-02	0.2781	0.9411	0.9849	0.7929	1049	0.00268
105	1.0e-02	0.2811	0.9389	0.9904	0.7888	1050	-0.00360
106	1.0e-02	0.2767	0.9402	0.9871	0.7925	1043	0.00320
107	1.0e-02	0.2768	0.9392	0.9925	0.7914	1101	0.00142
108	1.0e-02	0.2715	0.9421	0.9973	0.7935	1097	-0.00064
109	1.0e-02	0.2736	0.9402	0.9945	0.7934	1098	-0.00276
110	1.0e-02	0.2707	0.9414	0.9887	0.7924	1097	0.00123
111	1.0e-02	0.2676	0.9421	0.9912	0.7936	1097	0.00034
112	1.0e-02	0.2669	0.9413	0.9828	0.7919	1098	0.00254
113	1.0e-02	0.2663	0.9427	0.9876	0.7938	1097	-0.00201
114	1.0e-02	0.2618	0.9429	0.9836	0.7934	1097	0.00405
115	1.0e-02	0.2644	0.9411	0.9888	0.7906	1099	-0.00070
116	1.0e-02	0.2604	0.9432	0.9889	0.7906	1099	0.00018
117	1.0e-02	0.2664	0.9409	0.9853	0.7920	1039	0.00009
118	1.0e-02	0.2621	0.9415	0.9895	0.7891	1001	-0.00274
119	1.0e-02	0.2575	0.9428	0.9945	0.7889	999	-0.00013
120	1.0e-02	0.2546	0.9440	0.9929	0.7928	999	0.00198
121	1.0e-03	0.2509	0.9456	0.9834	0.7938	1000	0.00079
122	1.0e-03	0.2464	0.9458	0.9780	0.7922	1001	-0.00013
123	1.0e-03	0.2455	0.9470	0.9773	0.7939	1006	-0.00001
124	1.0e-03	0.2470	0.9463	0.9764	0.7942	999	0.00027
125	1.0e-03	0.2458	0.9468	0.9773	0.7936	1012	-0.00214
126	1.0e-03	0.2458	0.9465	0.9761	0.7944	1050	-0.00083
127	1.0e-03	0.2405	0.9477	0.9731	0.7955	1054	0.00240
128	1.0e-03	0.2435	0.9473	0.9688	0.7957	1082	0.00048
129	1.0e-03	0.2437	0.9474	0.9709	0.7956	1064	0.00024
130	1.0e-03	0.2439	0.9468	0.9722	0.7947	1045	0.00030
131	1.0e-03	0.2420	0.9477	0.9700	0.7945	1067	-0.00003
132	1.0e-03	0.2410	0.9480	0.9672	0.7963	1044	0.00173
133	1.0e-03	0.2426	0.9473	0.9676	0.7953	1072	0.00031
134	1.0e-03	0.2390	0.9492	0.9703	0.7941	1101	0.00049
135	1.0e-03	0.2370	0.9487	0.9723	0.7954	1092	-0.00018
136	1.0e-03	0.2379	0.9491	0.9673	0.7952	1091	-0.00270
137	1.0e-03	0.2422	0.9471	0.9669	0.7968	1094	-0.00161
138	1.0e-03	0.2423	0.9466	0.9673	0.7950	1097	0.00056
139	1.0e-03	0.2408	0.9474	0.9661	0.7948	1095	0.00417
140	1.0e-03	0.2425	0.9470	0.9647	0.7957	1096	0.00153
141	1.0e-03	0.2380	0.9487	0.9658	0.7943	1095	0.00074
142	1.0e-03	0.2288	0.9512	0.9640	0.7955	1097	0.00356
143	1.0e-03	0.2390	0.9483	0.9660	0.7950	1097	-0.00277
144	1.0e-03	0.2396	0.9479	0.9674	0.7954	1094	0.00139
145	1.0e-03	0.2340	0.9502	0.9626	0.7973	1093	0.00024
146	1.0e-03	0.2401	0.9478	0.9608	0.7962	1097	-0.00051
147	1.0e-03	0.2318	0.9487	0.9643	0.7975	1097	-0.00106
148	1.0e-03	0.2355	0.9492	0.9668	0.7963	1097	-0.00151
149	1.0e-03	0.2350	0.9502	0.9644	0.7965	1103	0.00302
150	1.0e-03	0.2386	0.9481	0.9653	0.7955	1103	-0.00113
151	1.0e-03	0.2365	0.9485	0.9644	0.7961	1100	0.00256
152	1.0e-03	0.2352	0.9494	0.9647	0.7947	1099	-0.00026
153	1.0e-03	0.2335	0.9488	0.9627	0.7979	1099	0.00019
154	1.0e-03	0.2372	0.9483	0.9618	0.7976	1100	-0.00013
155	1.0e-03	0.2377	0.9490	0.9638	0.7957	1099	-0.00200
156	1.0e-03	0.2372	0.9485	0.9641	0.7970	1101	0.00233
157	1.0e-03	0.2333	0.9496	0.9633	0.7974	1100	0.00164
158	1.0e-03	0.2339	0.9500	0.9647	0.7962	1104	-0.00190
159	1.0e-03	0.2332	0.9490	0.9624	0.7971	1105	0.00120
160	1.0e-03	0.2317	0.9500	0.9650	0.7975	1097	0.00094
