epoch	lr	loss	acc	val_loss	val_acc	delta_ema
116	1.0e-01	2.4842	0.6838	3.1739	0.5557	-0.00927
117	1.0e-01	2.4897	0.6846	3.0540	0.5861	-0.00991
118	1.0e-01	2.4808	0.6854	2.9968	0.5978	-0.00804
119	1.0e-01	2.4865	0.6844	2.9834	0.5893	-0.01064
120	1.0e-01	2.4930	0.6836	3.0517	0.5826	-0.01144
121	1.0e-01	2.4776	0.6886	3.0584	0.5926	-0.00840
122	1.0e-01	2.4895	0.6850	2.8503	0.6164	-0.01466
123	1.0e-01	2.4997	0.6822	3.0861	0.5859	-0.01513
124	1.0e-01	2.4850	0.6878	2.9713	0.6051	-0.01125
125	1.0e-01	2.5037	0.6854	3.0767	0.5849	-0.01666
126	1.0e-01	2.5086	0.6852	3.0180	0.5917	-0.01337
127	1.0e-01	2.5040	0.6858	2.9354	0.6078	-0.01284
128	1.0e-01	2.4876	0.6874	2.9708	0.5970	-0.00738
129	1.0e-01	2.4948	0.6878	2.9121	0.6077	-0.00848
130	1.0e-01	2.5031	0.6842	3.0740	0.5903	-0.01479
131	1.0e-01	2.4896	0.6904	3.0450	0.5783	-0.01248
132	1.0e-01	2.4924	0.6887	3.0528	0.5912	-0.01238
133	1.0e-01	2.4841	0.6904	3.1831	0.5721	-0.00510
134	1.0e-01	2.4996	0.6859	3.2376	0.5589	-0.01704
135	1.0e-01	2.4923	0.6852	3.2340	0.5521	-0.01433
136	1.0e-01	2.5097	0.6860	2.9437	0.5987	-0.01613
137	1.0e-01	2.5032	0.6876	2.9595	0.5922	-0.01188
138	1.0e-01	2.4960	0.6907	3.0348	0.5908	-0.00984
139	1.0e-01	2.5060	0.6856	3.0910	0.5823	-0.01081
140	1.0e-01	2.5038	0.6865	2.9040	0.6220	-0.01194
141	1.0e-01	2.4967	0.6900	3.2114	0.5582	-0.01416
142	1.0e-01	2.4926	0.6914	3.1174	0.5810	-0.00883
143	1.0e-01	2.4952	0.6860	3.0083	0.5994	-0.01263
144	1.0e-01	2.4913	0.6922	2.9143	0.6146	-0.01370
145	1.0e-01	2.4987	0.6879	3.0997	0.5726	-0.01552
146	1.0e-01	2.5053	0.6879	3.1081	0.5727	-0.01592
147	1.0e-01	2.5087	0.6886	3.0732	0.5839	-0.01258
148	1.0e-01	2.5045	0.6876	3.0163	0.5833	-0.01436
