epoch	lr	loss	acc	val_loss	val_acc	time
142	6.2e-02	1.7412	0.7475	1.9178	0.7492	485
143	6.2e-02	1.7626	0.7421	1.9132	0.7597	484
144	6.2e-02	1.7565	0.7443	1.9609	0.7489	485
145	6.2e-02	1.7456	0.7475	1.9531	0.7411	485
146	6.2e-02	1.7380	0.7494	2.0157	0.7414	484
147	6.2e-02	1.7480	0.7481	1.9770	0.7424	484
148	6.2e-02	1.7632	0.7422	2.0289	0.7290	485
149	6.2e-02	1.7351	0.7512	2.0153	0.7287	484
150	6.2e-02	1.7441	0.7490	1.8855	0.7507	484
151	6.3e-03	1.5585	0.7973	1.6802	0.8025	485
152	6.3e-03	1.4345	0.8262	1.6216	0.8072	485
153	6.3e-03	1.3376	0.8467	1.6367	0.8092	484
154	6.3e-03	1.2935	0.8527	1.5891	0.8106	484
155	6.3e-03	1.2522	0.8610	1.5544	0.8127	484
156	6.3e-03	1.2214	0.8629	1.5453	0.8099	484
157	6.3e-03	1.1808	0.8681	1.5014	0.8156	485
158	6.3e-03	1.1484	0.8716	1.5176	0.8104	485
159	6.3e-03	1.1183	0.8738	1.5230	0.8098	485
160	6.3e-03	1.0789	0.8810	1.4899	0.8128	483
161	6.3e-03	1.0577	0.8812	1.4718	0.8136	484
162	6.3e-03	1.0386	0.8812	1.4103	0.8135	484
163	6.3e-03	1.0105	0.8847	1.3892	0.8139	485
164	6.3e-03	0.9970	0.8848	1.4567	0.8061	484
165	6.3e-03	0.9632	0.8904	1.3918	0.8129	485
166	6.3e-03	0.9430	0.8928	1.3852	0.8107	485
167	6.3e-03	0.9322	0.8902	1.3711	0.8162	484
168	6.3e-03	0.9123	0.8921	1.3484	0.8192	484
169	6.3e-03	0.8905	0.8956	1.3154	0.8225	485
170	6.3e-03	0.8842	0.8943	1.3392	0.8134	484
171	6.3e-03	0.8617	0.8972	1.3351	0.8145	485
172	6.3e-03	0.8537	0.8958	1.3190	0.8168	485
173	6.3e-03	0.8255	0.8992	1.3023	0.8186	485
174	6.3e-03	0.8180	0.9000	1.3332	0.8119	485
175	6.3e-03	0.8096	0.9003	1.3337	0.8084	485
176	6.3e-03	0.7933	0.9015	1.2833	0.8214	485
177	6.3e-03	0.7688	0.9057	1.2830	0.8141	485
178	6.3e-03	0.7681	0.9037	1.3182	0.8097	485
179	6.3e-03	0.7658	0.9022	1.3142	0.8104	484
180	6.3e-03	0.7575	0.9010	1.2705	0.8152	485
181	6.3e-03	0.7443	0.9054	1.2978	0.8098	485
182	6.3e-03	0.7354	0.9042	1.2629	0.8113	485
183	6.3e-03	0.7283	0.9042	1.2613	0.8094	484
184	6.3e-03	0.7287	0.9027	1.2600	0.8182	486
185	6.3e-03	0.7099	0.9079	1.2675	0.8100	485
186	6.3e-03	0.7098	0.9043	1.2474	0.8112	485
187	6.3e-03	0.7047	0.9049	1.2548	0.8104	485
188	6.3e-03	0.7044	0.9041	1.2687	0.8056	485
189	6.3e-03	0.6873	0.9067	1.2303	0.8141	485
190	6.3e-03	0.6818	0.9065	1.2313	0.8163	484
191	6.3e-03	0.6841	0.9054	1.2699	0.8083	485
192	6.3e-03	0.6878	0.9033	1.2387	0.8067	485
193	6.3e-03	0.6658	0.9080	1.2222	0.8096	485
194	6.3e-03	0.6722	0.9052	1.2753	0.8098	485
195	6.3e-03	0.6736	0.9040	1.2009	0.8178	485
196	6.3e-03	0.6658	0.9054	1.2351	0.8084	485
197	6.3e-03	0.6569	0.9082	1.2728	0.8004	485
198	6.3e-03	0.6573	0.9070	1.2235	0.8073	485
199	6.3e-03	0.6611	0.9046	1.2425	0.8073	485
200	6.3e-03	0.6559	0.9064	1.2097	0.8102	485
201	6.3e-03	0.6504	0.9060	1.2767	0.8033	485
202	6.3e-03	0.6509	0.9057	1.2813	0.7951	485
203	6.3e-03	0.6538	0.9054	1.2457	0.8099	484
204	6.3e-03	0.6538	0.9037	1.1685	0.8110	485
205	6.3e-03	0.6440	0.9083	1.2690	0.8032	485
206	6.3e-03	0.6456	0.9069	1.2528	0.8112	484
207	6.3e-03	0.6470	0.9046	1.2764	0.8049	484
208	6.3e-03	0.6520	0.9043	1.2236	0.8085	485
209	6.3e-03	0.6347	0.9106	1.2016	0.8129	485
210	6.3e-03	0.6412	0.9066	1.2601	0.7995	484
211	6.3e-03	0.6451	0.9060	1.2222	0.8058	484
212	6.3e-03	0.6496	0.9046	1.2059	0.8088	484
213	6.3e-03	0.6341	0.9099	1.2736	0.8000	484
214	6.3e-03	0.6360	0.9093	1.2317	0.8041	485
215	6.3e-03	0.6412	0.9064	1.2278	0.8060	486
216	6.3e-03	0.6534	0.9025	1.2760	0.8033	484
217	6.3e-03	0.6414	0.9067	1.2709	0.8020	484
218	6.3e-03	0.6356	0.9076	1.2754	0.7993	484
219	6.3e-03	0.6418	0.9056	1.3398	0.7887	485
220	6.3e-03	0.6592	0.9012	1.2775	0.7981	484
221	6.3e-03	0.6388	0.9075	1.2678	0.8037	485
222	6.3e-03	0.6457	0.9056	1.2104	0.8111	484
223	6.3e-03	0.6445	0.9059	1.2590	0.8004	485
224	6.3e-03	0.6439	0.9042	1.2530	0.8081	485
225	6.3e-03	0.6389	0.9076	1.2496	0.8046	485
226	6.2e-04	0.6077	0.9172	1.1883	0.8148	484
227	6.2e-04	0.5889	0.9228	1.1561	0.8201	483
228	6.2e-04	0.5714	0.9273	1.1641	0.8180	484
229	6.2e-04	0.5579	0.9309	1.1960	0.8186	484
230	6.2e-04	0.5513	0.9328	1.1419	0.8241	484
231	6.2e-04	0.5456	0.9352	1.1881	0.8185	485
232	6.2e-04	0.5494	0.9314	1.1537	0.8248	484
233	6.2e-04	0.5361	0.9360	1.2049	0.8176	484
234	6.2e-04	0.5366	0.9357	1.0964	0.8317	485
235	6.2e-04	0.5273	0.9376	1.1671	0.8202	484
236	6.2e-04	0.5300	0.9366	1.1909	0.8184	485
237	6.2e-04	0.5286	0.9373	1.1288	0.8269	485
238	6.2e-04	0.5236	0.9386	1.1577	0.8226	485
239	6.2e-04	0.5217	0.9385	1.1354	0.8268	484
240	6.2e-04	0.5157	0.9397	1.2041	0.8182	484
241	6.2e-04	0.5127	0.9408	1.1531	0.8243	485
242	6.2e-04	0.5135	0.9407	1.1490	0.8292	484
243	6.2e-04	0.5131	0.9400	1.1478	0.8218	485
244	6.2e-04	0.5058	0.9416	1.1634	0.8215	485
245	6.2e-04	0.5015	0.9430	1.1472	0.8218	484
246	6.2e-04	0.5058	0.9416	1.1782	0.8233	485
247	6.2e-04	0.5007	0.9430	1.1247	0.8277	485
248	6.2e-04	0.4959	0.9442	1.1263	0.8244	485
249	6.2e-04	0.4960	0.9438	1.1370	0.8260	484
250	6.2e-04	0.4909	0.9444	1.1743	0.8178	485
251	6.2e-04	0.4953	0.9430	1.1427	0.8237	484
252	6.2e-04	0.4854	0.9457	1.1171	0.8268	485
253	6.2e-04	0.4891	0.9458	1.1702	0.8177	484
254	6.2e-04	0.4825	0.9473	1.1053	0.8300	484
255	6.2e-04	0.4820	0.9459	1.1000	0.8283	484
256	6.2e-04	0.4827	0.9463	1.1765	0.8222	485
257	6.2e-04	0.4817	0.9455	1.1506	0.8248	484
258	6.2e-04	0.4750	0.9478	1.1280	0.8271	485
